mode,case,desired_half_window_days,desired_switch_start_days,desired_switch_end_days,closest_approach_days,closest_approach_distance_AU,actual_switch_start_days,actual_switch_end_days,actual_start_offset_before_ca_days,actual_end_offset_after_ca_days,desired_switch_start_distance_AU,desired_switch_end_distance_AU,actual_switch_start_distance_AU,actual_switch_end_distance_AU,steps_taken,final_relE,max_relE
whfast_fake_hj,1,10.0,54204.70336380557,54224.70336380557,54214.70336380557,0.00263465729545114,54212.3804,54232.3804,2.3229638055709074,17.677036194429093,0.013635543238293238,0.013859528081763568,0.004130141647199745,0.023990454962452265,74,0.00040320828939830426,0.00040519245615384833
whfast_fake_hj,2,22.142857142857142,54192.56050666272,54236.84622094843,54214.70336380557,0.00263465729545114,54202.3804,54242.3804,12.322963805570907,27.677036194429093,0.029890248428103602,0.030190424127625445,0.01663612134602644,0.03833198572489408,74,2.1658990119863388e-05,2.5402253294899637e-05
whfast_fake_hj,3,34.285714285714285,54180.417649519855,54248.98907809129,54214.70336380557,0.00263465729545114,54182.3804,54252.3804,32.32296380557091,37.67703619442909,0.04833729520421081,0.04890823135414854,0.04516086425362103,0.05476544071402528,74,4.917015172184759e-06,1.0178985047096774e-05
whfast_fake_hj,4,46.42857142857143,54168.274792377,54261.131935234145,54214.70336380557,0.00263465729545114,54172.3804,54262.3804,42.32296380557091,47.67703619442909,0.06992643533490937,0.07145269115032918,0.06223980710266918,0.07403399392727736,74,4.0709088255898225e-06,1.3862925147697041e-05
whfast_fake_hj,5,58.57142857142857,54156.131935234145,54273.274792377,54214.70336380557,0.00263465729545114,54162.3804,54282.3804,52.32296380557091,67.67703619442909,0.09503851462803205,0.09888944269380337,0.08167468899109828,0.12304957957414642,74,4.786763819191115e-06,1.8679549143665906e-05
whfast_fake_hj,6,70.71428571428571,54143.98907809129,54285.417649519855,54214.70336380557,0.00263465729545114,54152.3804,54292.3804,62.32296380557091,77.67703619442909,0.12350577761881093,0.1318150900879444,0.10349651716310083,0.15324457754435716,74,8.220062842687166e-06,2.457011441522383e-05
whfast_fake_hj,7,82.85714285714286,54131.84622094843,54297.56050666272,54214.70336380557,0.00263465729545114,54132.3804,54302.3804,82.32296380557091,87.67703619442909,0.1546997139607523,0.17037735089527284,0.15328247014958057,0.1872057475474546,74,3.0492374784725264e-06,3.883001653427454e-05
whfast_fake_hj,8,95.0,54119.70336380557,54309.70336380557,54214.70336380557,0.00263465729545114,54122.3804,54312.3804,92.32296380557091,97.67703619442909,0.1876500793395966,0.21434063335157247,0.1802929440473984,0.22470976678094332,74,4.570567954762526e-06,4.662628886425851e-05
whfast_fake_hj,9,107.14285714285714,54107.56050666272,54321.84622094843,54214.70336380557,0.00263465729545114,54112.3804,54322.3804,102.32296380557091,107.67703619442909,0.22117503929788745,0.26315050793862194,0.207879574229064,0.2653970468146145,74,4.7752921248901415e-06,5.4445889890761155e-05
whfast_fake_hj,10,119.28571428571428,54095.417649519855,54333.98907809129,54214.70336380557,0.00263465729545114,54102.3804,54342.3804,112.32296380557091,127.67703619442909,0.25401081449918195,0.315984940990979,0.23534039609301446,0.3543068025193835,74,1.5864117166489858e-05,6.203365877029238e-05
whfast_fake_hj,11,131.42857142857142,54083.274792377,54346.131935234145,54214.70336380557,0.00263465729545114,54092.3804,54352.3804,122.32296380557091,137.6770361944291,0.2849295371008192,0.37179683979613254,0.26196990683092664,0.4012809502227167,74,1.1355932498939848e-05,6.942516825143356e-05
whfast_fake_hj,12,143.57142857142856,54071.131935234145,54358.274792377,54214.70336380557,0.00263465729545114,54072.3804,54362.3804,142.3229638055709,147.6770361944291,0.31283436269959214,0.42935607447259316,0.31013239448939356,0.44897482998041877,74,1.0734361178955554e-05,8.185621578050722e-05
whfast_fake_hj,13,155.71428571428572,54058.98907809129,54370.417649519855,54214.70336380557,0.00263465729545114,54062.3804,54372.3804,152.3229638055709,157.6770361944291,0.33682482449851275,0.487297517602661,0.3305616698495757,0.49660188204428235,74,1.669592489879008e-05,8.653973729425964e-05
whfast_fake_hj,14,167.85714285714286,54046.84622094843,54382.56050666272,54214.70336380557,0.00263465729545114,54052.3804,54392.3804,162.3229638055709,177.6770361944291,0.35623159339690197,0.5441783658066127,0.34798826093401264,0.5884049311915579,74,1.778029719497978e-05,8.999003856317057e-05
whfast_fake_hj,15,180.0,54034.70336380557,54394.70336380557,54214.70336380557,0.00263465729545114,54042.3804,54402.3804,172.3229638055709,187.6770361944291,0.3706252845209072,0.5985443447881023,0.36212337944318385,0.6309824563500056,74,2.47275149924792e-05,9.211662083043522e-05
ias15_whfast_fake_hj,1,10.0,54204.70336380557,54224.70336380557,54214.70336380557,0.00263465729545114,54205.33022711592,54225.33022711592,9.37313668965362,10.62686331034638,0.013635543238293238,0.013859528081763568,0.012831747050488729,0.014669059385393679,79,4.464741735783115e-06,4.46474173613009e-06
ias15_whfast_fake_hj,2,22.142857142857142,54192.56050666272,54236.84622094843,54214.70336380557,0.00263465729545114,54194.6339633804,54244.6339633804,20.069400425170898,29.930599574829102,0.029890248428103602,0.030190424127625445,0.02699370697991175,0.041823661303117016,78,5.043134984765829e-06,5.043134985228462e-06
ias15_whfast_fake_hj,3,34.285714285714285,54180.417649519855,54248.98907809129,54214.70336380557,0.00263465729545114,54185.50368076189,54255.50368076189,29.199683043683763,40.80031695631624,0.04833729520421081,0.04890823135414854,0.040270450598084345,0.060449067340872846,78,9.705975356584721e-06,9.70597535727867e-06
ias15_whfast_fake_hj,4,46.42857142857143,54168.274792377,54261.131935234145,54214.70336380557,0.00263465729545114,54176.51696534189,54266.51696534189,38.186398463680234,51.813601536319766,0.06992643533490937,0.07145269115032918,0.05489993965974271,0.08297000803666113,78,1.4474059066448697e-05,1.4474059066564354e-05
ias15_whfast_fake_hj,5,58.57142857142857,54156.131935234145,54273.274792377,54214.70336380557,0.00263465729545114,54159.00316663179,54279.00316663179,55.700197173784545,64.29980282621545,0.09503851462803205,0.09888944269380337,0.08878318190689435,0.11371932469802778,78,6.0547229221413e-06,1.5208071511555879e-05
ias15_whfast_fake_hj,6,70.71428571428571,54143.98907809129,54285.417649519855,54214.70336380557,0.00263465729545114,54150.43284671767,54290.43284671767,64.27051708790532,75.72948291209468,0.12350577761881093,0.1318150900879444,0.10801029000652546,0.14706421032586833,77,1.3985205550291737e-06,2.912949115077136e-05
ias15_whfast_fake_hj,7,82.85714285714286,54131.84622094843,54297.56050666272,54214.70336380557,0.00263465729545114,54133.52434262014,54303.52434262014,81.17902118543134,88.82097881456866,0.1546997139607523,0.17037735089527284,0.15025943111378845,0.1913221629783862,77,9.344512061729835e-06,3.5638755153172985e-05
ias15_whfast_fake_hj,8,95.0,54119.70336380557,54309.70336380557,54214.70336380557,0.00263465729545114,54125.12625454987,54315.12625454987,89.57710925570427,100.42289074429573,0.1876500793395966,0.21434063335157247,0.17278998048491248,0.23558306655852676,77,1.8968832775166753e-05,4.088362502372667e-05
ias15_whfast_fake_hj,9,107.14285714285714,54107.56050666272,54321.84622094843,54214.70336380557,0.00263465729545114,54108.28967424379,54328.28967424379,106.41368956178485,113.58631043821515,0.22117503929788745,0.26315050793862194,0.21916870001228633,0.29074700571097206,76,7.918602745500827e-06,5.621349088680399e-05
ias15_whfast_fake_hj,10,119.28571428571428,54095.417649519855,54333.98907809129,54214.70336380557,0.00263465729545114,54099.78940146178,54339.78940146178,114.91396234379499,125.08603765620501,0.25401081449918195,0.315984940990979,0.24234775232797728,0.34234519839607597,76,6.0756493914411085e-06,6.574849034472852e-05
ias15_whfast_fake_hj,11,131.42857142857142,54083.274792377,54346.131935234145,54214.70336380557,0.00263465729545114,54091.19305097467,54351.19305097467,123.5103128309056,136.4896871690944,0.2849295371008192,0.37179683979613254,0.2650445920456874,0.39565090352468885,75,6.499082505131376e-06,7.124711503039357e-05
ias15_whfast_fake_hj,12,143.57142857142856,54071.131935234145,54358.274792377,54214.70336380557,0.00263465729545114,54073.58783485013,54363.58783485013,141.11552895544446,148.88447104455554,0.31283436269959214,0.42935607447259316,0.30748048909633013,0.4547450033080348,75,7.3809924712076176e-06,8.089890228563761e-05
ias15_whfast_fake_hj,13,155.71428571428572,54058.98907809129,54370.417649519855,54214.70336380557,0.00263465729545114,54064.51754440494,54374.51754440494,150.1858194006345,159.8141805993655,0.33682482449851275,0.487297517602661,0.32643601576492587,0.5066942208066509,75,1.2184622218158593e-05,8.552486516123226e-05
ias15_whfast_fake_hj,14,167.85714285714286,54046.84622094843,54382.56050666272,54214.70336380557,0.00263465729545114,54055.229130649845,54385.229130649845,159.47423315572814,170.52576684427186,0.35623159339690197,0.5441783658066127,0.34334864172078833,0.556391971855787,75,1.7926904517067577e-05,8.916313639845522e-05
ias15_whfast_fake_hj,15,180.0,54034.70336380557,54394.70336380557,54214.70336380557,0.00263465729545114,54035.889784970364,54395.889784970364,178.81357883520832,181.18642116479168,0.3706252845209072,0.5985443447881023,0.36944716937406624,0.603668156844468,75,3.1418233748872786e-05,9.28167428868548e-05
